timestamp,interval_end,actual_intensity,forecast_intensity,biomass,coal,imports,gas,nuclear,other,hydro,solar,wind,hour,day_of_week,month,day_of_year,is_weekend,factor_biomass,factor_coal,factor_dutch_imports,factor_french_imports,factor_gas_combined_cycle,factor_gas_open_cycle,factor_hydro,factor_irish_imports,factor_nuclear,factor_oil,factor_other,factor_pumped_storage,factor_solar,factor_wind,intensity_index_very low,intensity_index_low,intensity_index_moderate,intensity_index_high,intensity_index_very high
2026-04-03 01:30:00+00:00,2026-04-03 02:00:00+00:00,83,86,4.4,0,0.5,19.7,17.3,0,0,0.0,58.1,1,4,4,93,0,120,937,474,53,394,651,0,458,0,935,300,0,0,0,False,True,False,False,False
2026-04-03 02:00:00+00:00,2026-04-03 02:30:00+00:00,82,81,4.4,0,0.5,19.5,17.2,0,0,0.0,58.3,2,4,4,93,0,120,937,474,53,394,651,0,458,0,935,300,0,0,0,False,True,False,False,False
2026-04-03 02:30:00+00:00,2026-04-03 03:00:00+00:00,74,83,4.3,0,2.1,17.5,17.1,0,0,0.0,59.0,2,4,4,93,0,120,937,474,53,394,651,0,458,0,935,300,0,0,0,False,True,False,False,False
2026-04-03 03:00:00+00:00,2026-04-03 03:30:00+00:00,67,82,4.3,0,1.9,15.6,17.0,0,0,0.0,61.1,3,4,4,93,0,120,937,474,53,394,651,0,458,0,935,300,0,0,0,False,True,False,False,False
2026-04-03 03:30:00+00:00,2026-04-03 04:00:00+00:00,64,73,4.4,0,0.0,15.0,17.2,0,0,0.0,63.4,3,4,4,93,0,120,937,474,53,394,651,0,458,0,935,300,0,0,0,False,True,False,False,False
2026-04-03 04:00:00+00:00,2026-04-03 04:30:00+00:00,64,68,4.4,0,0.0,14.8,17.2,0,0,0.0,63.5,4,4,4,93,0,120,937,474,53,394,651,0,458,0,935,300,0,0,0,False,True,False,False,False
2026-04-03 04:30:00+00:00,2026-04-03 05:00:00+00:00,70,63,4.4,0,0.0,15.3,17.4,0,0,0.0,62.8,4,4,4,93,0,120,937,474,53,394,651,0,458,0,935,300,0,0,0,False,True,False,False,False
2026-04-03 05:00:00+00:00,2026-04-03 05:30:00+00:00,73,63,4.4,0,0.0,15.4,17.3,0,0,0.0,62.9,5,4,4,93,0,120,937,474,53,394,651,0,458,0,935,300,0,0,0,False,True,False,False,False
2026-04-03 05:30:00+00:00,2026-04-03 06:00:00+00:00,71,60,4.5,0,0.0,14.0,17.6,0,0,0.0,63.8,5,4,4,93,0,120,937,474,53,394,651,0,458,0,935,300,0,0,0,False,True,False,False,False
2026-04-03 06:00:00+00:00,2026-04-03 06:30:00+00:00,75,64,4.5,0,0.0,14.0,17.6,0,0,0.4,63.5,6,4,4,93,0,120,937,474,53,394,651,0,458,0,935,300,0,0,0,False,True,False,False,False
2026-04-03 06:30:00+00:00,2026-04-03 07:00:00+00:00,62,60,4.5,0,0.0,14.0,17.8,0,0,0.4,63.4,6,4,4,93,0,120,937,474,53,394,651,0,458,0,935,300,0,0,0,False,True,False,False,False
2026-04-03 07:00:00+00:00,2026-04-03 07:30:00+00:00,59,61,4.3,0,0.0,14.0,17.7,0,0,0.8,63.1,7,4,4,93,0,120,937,474,53,394,651,0,458,0,935,300,0,0,0,False,True,False,False,False
2026-04-03 07:30:00+00:00,2026-04-03 08:00:00+00:00,58,61,4.5,0,0.0,13.5,17.5,0,0,1.4,62.9,7,4,4,93,0,120,937,474,53,394,651,0,458,0,935,300,0,0,0,False,True,False,False,False
2026-04-03 08:00:00+00:00,2026-04-03 08:30:00+00:00,59,60,4.4,0,0.1,13.3,17.6,0,0,2.2,62.4,8,4,4,93,0,120,937,474,53,394,651,0,458,0,935,300,0,0,0,False,True,False,False,False
2026-04-03 08:30:00+00:00,2026-04-03 09:00:00+00:00,59,63,4.4,0,0.2,13.9,17.7,0,0,3.1,60.7,8,4,4,93,0,120,937,474,53,394,651,0,458,0,935,300,0,0,0,False,True,False,False,False
2026-04-03 09:00:00+00:00,2026-04-03 09:30:00+00:00,59,61,4.1,0,0.3,14.0,17.8,0,0,4.2,59.6,9,4,4,93,0,120,937,474,53,394,651,0,458,0,935,300,0,0,0,False,True,False,False,False
2026-04-03 09:30:00+00:00,2026-04-03 10:00:00+00:00,57,60,4.0,0,0.4,14.2,17.7,0,0,5.4,58.2,9,4,4,93,0,120,937,474,53,394,651,0,458,0,935,300,0,0,0,False,True,False,False,False
2026-04-03 10:00:00+00:00,2026-04-03 10:30:00+00:00,53,59,4.0,0,0.5,14.1,16.9,0,0,6.8,57.6,10,4,4,93,0,120,937,474,53,394,651,0,458,0,935,300,0,0,0,False,True,False,False,False
2026-04-03 10:30:00+00:00,2026-04-03 11:00:00+00:00,50,58,3.9,0,0.7,13.9,16.6,0,0,8.2,56.6,10,4,4,93,0,120,937,474,53,394,651,0,458,0,935,300,0,0,0,False,True,False,False,False
2026-04-03 11:00:00+00:00,2026-04-03 11:30:00+00:00,49,59,3.8,0,0.7,14.2,16.2,0,0,9.3,55.6,11,4,4,93,0,120,937,474,53,394,651,0,458,0,935,300,0,0,0,False,True,False,False,False
2026-04-03 11:30:00+00:00,2026-04-03 12:00:00+00:00,47,58,3.9,0,0.8,13.7,16.4,0,0,10.4,54.8,11,4,4,93,0,120,937,474,53,394,651,0,458,0,935,300,0,0,0,False,True,False,False,False
2026-04-03 12:00:00+00:00,2026-04-03 12:30:00+00:00,43,55,3.9,0,0.8,12.9,16.6,0,0,11.2,54.6,12,4,4,93,0,120,937,474,53,394,651,0,458,0,935,300,0,0,0,False,True,False,False,False
2026-04-03 12:30:00+00:00,2026-04-03 13:00:00+00:00,43,56,3.9,0,0.7,13.2,16.2,0,0,11.8,54.1,12,4,4,93,0,120,937,474,53,394,651,0,458,0,935,300,0,0,0,False,True,False,False,False
2026-04-03 13:00:00+00:00,2026-04-03 13:30:00+00:00,41,57,3.9,0,0.8,13.2,15.2,0,0,12.5,54.4,13,4,4,93,0,120,937,474,53,394,651,0,458,0,935,300,0,0,0,False,True,False,False,False
