timestamp,interval_end,actual_intensity,forecast_intensity,intensity_index,biomass,coal,imports,gas,nuclear,other,hydro,solar,wind,hour,day_of_week,month,day_of_year,is_weekend,factor_biomass,factor_coal,factor_dutch_imports,factor_french_imports,factor_gas_combined_cycle,factor_gas_open_cycle,factor_hydro,factor_irish_imports,factor_nuclear,factor_oil,factor_other,factor_pumped_storage,factor_solar,factor_wind
2026-04-23 13:30:00+00:00,2026-04-23 14:00:00+00:00,56,51,low,4.6,0,18.6,5.5,16.3,2.0,1.0,40.0,12.0,13,3,4,113,0,120,937,474,53,394,651,0,458,0,935,300,0,0,0
2026-04-23 14:00:00+00:00,2026-04-23 14:30:00+00:00,58,53,low,4.6,0,19.1,6.0,16.6,1.9,1.1,37.9,12.7,14,3,4,113,0,120,937,474,53,394,651,0,458,0,935,300,0,0,0
2026-04-23 14:30:00+00:00,2026-04-23 15:00:00+00:00,65,55,low,4.7,0,19.8,7.1,16.9,2.3,1.1,34.8,13.3,14,3,4,113,0,120,937,474,53,394,651,0,458,0,935,300,0,0,0
2026-04-23 15:00:00+00:00,2026-04-23 15:30:00+00:00,77,56,low,4.8,0,19.9,9.5,17.0,3.1,1.2,30.9,13.5,15,3,4,113,0,120,937,474,53,394,651,0,458,0,935,300,0,0,0
2026-04-23 15:30:00+00:00,2026-04-23 16:00:00+00:00,90,81,moderate,6.7,0,19.9,12.4,16.9,3.0,1.4,26.3,13.5,15,3,4,113,0,120,937,474,53,394,651,0,458,0,935,300,0,0,0
2026-04-23 16:00:00+00:00,2026-04-23 16:30:00+00:00,108,78,moderate,8.6,0,19.5,17.1,16.7,2.1,1.4,21.1,13.4,16,3,4,113,0,120,937,474,53,394,651,0,458,0,935,300,0,0,0
2026-04-23 16:30:00+00:00,2026-04-23 17:00:00+00:00,122,101,moderate,9.1,0,18.7,21.4,16.7,2.1,3.0,16.3,12.7,16,3,4,113,0,120,937,474,53,394,651,0,458,0,935,300,0,0,0
2026-04-23 17:00:00+00:00,2026-04-23 17:30:00+00:00,134,112,moderate,9.2,0,18.7,24.4,17.0,2.4,4.3,11.8,12.1,17,3,4,113,0,120,937,474,53,394,651,0,458,0,935,300,0,0,0
2026-04-23 17:30:00+00:00,2026-04-23 18:00:00+00:00,139,129,moderate,9.3,0,16.5,25.8,17.0,5.7,6.1,7.7,11.8,17,3,4,113,0,120,937,474,53,394,651,0,458,0,935,300,0,0,0
2026-04-23 18:00:00+00:00,2026-04-23 18:30:00+00:00,148,143,moderate,9.5,0,17.0,27.0,17.5,6.8,6.0,4.3,11.8,18,3,4,113,0,120,937,474,53,394,651,0,458,0,935,300,0,0,0
2026-04-23 18:30:00+00:00,2026-04-23 19:00:00+00:00,152,152,moderate,9.8,0,17.7,27.5,17.9,7.1,6.3,1.3,12.4,18,3,4,113,0,120,937,474,53,394,651,0,458,0,935,300,0,0,0
2026-04-23 19:00:00+00:00,2026-04-23 19:30:00+00:00,153,154,moderate,9.8,0,17.8,27.7,17.9,7.2,6.8,0.1,12.7,19,3,4,113,0,120,937,474,53,394,651,0,458,0,935,300,0,0,0
2026-04-23 19:30:00+00:00,2026-04-23 20:00:00+00:00,153,155,moderate,9.9,0,19.0,28.4,18.1,4.3,7.3,0.1,12.9,19,3,4,113,0,120,937,474,53,394,651,0,458,0,935,300,0,0,0
2026-04-23 20:00:00+00:00,2026-04-23 20:30:00+00:00,154,154,moderate,10.3,0,19.8,29.3,18.8,3.1,5.2,0.1,13.5,20,3,4,113,0,120,937,474,53,394,651,0,458,0,935,300,0,0,0
2026-04-23 20:30:00+00:00,2026-04-23 21:00:00+00:00,147,157,moderate,10.7,0,19.6,29.5,19.6,1.9,4.9,0.1,13.9,20,3,4,113,0,120,937,474,53,394,651,0,458,0,935,300,0,0,0
2026-04-23 21:00:00+00:00,2026-04-23 21:30:00+00:00,148,171,moderate,11.0,0,20.2,29.9,20.1,1.3,3.3,0.1,14.2,21,3,4,113,0,120,937,474,53,394,651,0,458,0,935,300,0,0,0
2026-04-23 21:30:00+00:00,2026-04-23 22:00:00+00:00,150,143,moderate,11.1,0,23.1,27.0,20.4,1.4,3.0,0.1,13.8,21,3,4,113,0,120,937,474,53,394,651,0,458,0,935,300,0,0,0
2026-04-23 22:00:00+00:00,2026-04-23 22:30:00+00:00,146,142,moderate,11.5,0,23.9,25.5,21.0,1.4,3.1,0.1,13.5,22,3,4,113,0,120,937,474,53,394,651,0,458,0,935,300,0,0,0
2026-04-23 22:30:00+00:00,2026-04-23 23:00:00+00:00,146,150,moderate,11.7,0,24.4,25.4,21.5,1.2,2.5,0.1,13.1,22,3,4,113,0,120,937,474,53,394,651,0,458,0,935,300,0,0,0
2026-04-23 23:00:00+00:00,2026-04-23 23:30:00+00:00,149,150,moderate,11.7,0,24.4,26.3,21.4,1.3,2.1,0.1,12.7,23,3,4,113,0,120,937,474,53,394,651,0,458,0,935,300,0,0,0
2026-04-23 23:30:00+00:00,2026-04-24 00:00:00+00:00,147,145,moderate,12.0,0,25.3,24.5,21.9,1.9,1.9,0.1,12.3,23,3,4,113,0,120,937,474,53,394,651,0,458,0,935,300,0,0,0
2026-04-24 00:00:00+00:00,2026-04-24 00:30:00+00:00,151,159,moderate,12.0,0,25.5,25.8,22.0,1.5,1.6,0.1,11.4,0,4,4,114,0,120,937,474,53,394,651,0,458,0,935,300,0,0,0
2026-04-24 00:30:00+00:00,2026-04-24 01:00:00+00:00,152,151,moderate,12.2,0,25.4,26.6,22.2,1.4,1.7,0.1,10.5,0,4,4,114,0,120,937,474,53,394,651,0,458,0,935,300,0,0,0
2026-04-24 01:00:00+00:00,2026-04-24 01:30:00+00:00,155,157,moderate,12.1,0,25.2,27.1,22.1,1.5,1.6,0.1,10.2,1,4,4,114,0,120,937,474,53,394,651,0,458,0,935,300,0,0,0
